X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,Label
56,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,56,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,0,56,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,0,0,56,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,32,32,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,0,0,0,32,32,48,0,0,0,0,0,0,0,0,0,0,0,0,0,L
0,0,0,0,64,64,96,0,0,0,0,0,0,0,0,0,0,0,0,0,L
0,0,0,0,128,128,192,0,0,0,0,0,0,0,0,0,0,0,0,0,L
0,0,0,0,256,256,384,0,0,0,0,0,0,0,0,0,0,0,0,0,L
0,0,0,0,512,512,768,0,0,0,0,0,0,0,0,0,0,0,0,0,L
0,0,0,0,512,512,768,0,0,0,0,0,0,0,0,0,0,0,0,0,D
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,512,768,0,0,D
32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,512,512,768,D
0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,512,512,768,C
0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,512,512,768,D
0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,512,512,768,R
0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,512,512,768,D
0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,512,512,768,R
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,512,512,768,R
0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,512,512,768,R
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,512,783,D
0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,512,783,C
0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,512,512,783,R
0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,512,512,783,D
0,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,512,512,783,R
0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,512,512,783,R
0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,512,512,783,R
0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,512,512,783,R
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,512,512,783,R
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,512,512,783,D
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,512,512,783,L
0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,512,512,783,L
0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,512,512,783,L
0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,512,512,783,L
0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,512,512,783,D
0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,512,512,783,L
0,0,0,0,0,0,0,32,32,32,32,0,0,0,0,0,0,512,512,783,L
0,0,0,0,0,0,0,64,64,64,64,0,0,0,0,0,0,512,512,783,L
0,0,0,0,0,0,0,128,128,128,128,0,0,0,0,0,0,512,512,783,D
0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,128,640,640,911,D
0,0,0,0,0,0,0,0,0,48,48,0,0,0,0,0,128,640,640,911,D
0,0,0,0,0,0,0,0,0,0,48,48,0,0,0,0,128,640,640,911,L
0,0,0,0,0,0,0,0,0,0,0,96,96,0,0,0,128,640,640,911,D
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,736,640,911,D
48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,D
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,R
0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,128,640,736,1007,D
0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,128,640,736,1007,D
56,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,643,739,1007,D
0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0,128,643,739,1007,C
0,32,48,32,0,0,0,0,0,0,0,0,0,0,0,0,128,643,739,1007,R
0,16,24,16,0,0,0,0,0,0,0,0,0,0,0,0,128,643,739,1007,D
0,0,0,0,0,0,0,0,0,0,0,0,16,24,16,0,128,643,739,1007,D
48,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,659,763,D
0,48,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,128,659,763,D
0,0,48,32,32,0,0,0,0,0,0,0,0,0,0,0,0,128,659,763,D
0,0,0,48,32,32,0,0,0,0,0,0,0,0,0,0,0,128,659,763,C
0,0,0,32,56,0,0,0,0,0,0,0,0,0,0,0,0,128,659,763,C
0,0,0,16,16,48,0,0,0,0,0,0,0,0,0,0,0,128,659,763,D
0,0,0,0,16,16,48,0,0,0,0,0,0,0,0,0,0,128,659,763,L
0,0,0,0,0,0,0,0,0,0,32,32,96,0,0,0,0,128,659,763,D
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,160,755,763,D
0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,160,755,763,C
0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32,160,755,763,L
0,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,32,160,755,763,D
0,0,64,64,64,64,0,0,0,0,0,0,0,0,0,0,32,160,755,763,L
0,0,128,128,128,128,0,0,0,0,0,0,0,0,0,0,32,160,755,763,L
0,0,256,256,256,256,0,0,0,0,0,0,0,0,0,0,32,160,755,763,D
0,0,0,0,0,0,0,0,0,0,0,256,256,256,256,0,32,160,755,763,D
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,416,1011,1019,D
0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,416,1011,1019,C
0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,288,416,1011,1019,R
0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,288,416,1011,1019,R
0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,288,416,1011,1019,D
0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,288,416,1011,1019,R
0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,288,416,1011,1019,D
0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,292,416,1011,1019,D
32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,D
0,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,D
0,0,32,56,0,0,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,C
0,0,16,16,48,0,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,C
0,0,56,8,0,0,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,C
0,0,48,32,32,0,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,L
0,0,96,64,64,0,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,D
0,0,0,96,64,64,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,L
0,0,0,192,128,128,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,L
0,0,0,384,256,256,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,L
0,0,0,768,512,512,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,L
0,0,0,768,512,512,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,L
0,0,0,768,512,512,0,0,0,0,0,0,0,0,0,0,0,292,420,1015,L
0,0,0,0,0,0,0,768,512,512,0,0,0,0,0,0,0,292,420,1015,D
32,48,16,0,0,0,0,0,0,0,0,0,0,0,0,0,768,804,932,1015,D
0,32,48,16,0,0,0,0,0,0,0,0,0,0,0,0,768,804,932,1015,L
0,64,96,32,0,0,0,0,0,0,0,0,0,0,0,0,768,804,932,1015,L
0,128,192,64,0,0,0,0,0,0,0,0,0,0,0,0,768,804,932,1015,D
0,0,0,0,128,192,64,0,0,0,0,0,0,0,0,0,768,804,932,1015,R
0,0,0,0,64,96,32,0,0,0,0,0,0,0,0,0,768,804,932,1015,D
0,0,0,0,0,64,96,32,0,0,0,0,0,0,0,0,768,804,932,1015,R
0,0,0,0,0,32,48,16,0,0,0,0,0,0,0,0,768,804,932,1015,R
0,0,0,0,0,0,0,0,16,24,8,0,0,0,0,0,768,804,932,1015,D
32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,768,820,956,D
0,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,768,820,956,R
0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,768,820,956,R
0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,768,820,956,R
0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,768,820,956,R
0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,768,820,956,R
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,768,820,956,R
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,768,820,956,D
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,768,820,956,R
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,768,820,956,D
32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,1,769,821,957,R
16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,769,821,957,D
0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,1,769,821,957,R
0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,1,769,821,957,R
0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,769,821,957,R
0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,769,821,957,D
0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,769,821,957,D
48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,D
0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,L
0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,L
0,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,L
0,384,384,0,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,L
0,768,768,0,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,L
0,768,768,0,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,L
0,768,768,0,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,D
0,0,768,768,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,R
0,0,384,384,0,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,D
0,0,0,384,384,0,0,0,0,0,0,0,0,0,0,0,3,771,823,959,R
